Designator,Mid X,Mid Y,Rotation,Layer
J1,24.14,-48.03,0.0,top
J11,49.69,-66.92,0.0,bottom
J12,48.66,-27.325,0.0,bottom
J13,52.34,-24.755,0.0,bottom
J14,55.98,-24.755,0.0,bottom
J15,59.61,-24.765,0.0,bottom
J16,63.23,-24.745,0.0,bottom
J17,27.955,-19.43,90.0,bottom
J2,74.595,-57.44,0.0,bottom
J3,74.585,-76.26,0.0,bottom
J4,74.52,-24.725,0.0,bottom
J5,70.88,-24.725,0.0,bottom
J6,67.28,-24.725,0.0,bottom
J7,48.91,-41.715,0.0,bottom
J8,74.475,-41.845,0.0,top
J9,70.74,-41.865,0.0,bottom
U1,36.62,-48.04,0.0,bottom
